REST_HUMAN	MSTRG.10079	REST	MSTRG.10079.1.p1
REST_MOUSE	MSTRG.10221	REST	MSTRG.10079.1.p1
REST_HUMAN	PMZ_0031526	REST	MSTRG.10079.1.p1
REST_MOUSE	PMZ_0044517	REST	MSTRG.10079.1.p1
REST_HUMAN	MSTRG.10079	REST	MSTRG.10079.2.p1
REST_MOUSE	MSTRG.10221	REST	MSTRG.10079.2.p1
REST_HUMAN	PMZ_0031526	REST	MSTRG.10079.2.p1
REST_MOUSE	PMZ_0044517	REST	MSTRG.10079.2.p1
PXMP4_HUMAN	MSTRG.1019	CGGBP1	MSTRG.1019.5.p2
PXMP4_HUMAN	PMZ_0040004	CGGBP1	MSTRG.1019.5.p2
PXMP4_HUMAN	MSTRG.1019	CGGBP1	MSTRG.1019.6.p2
PXMP4_HUMAN	PMZ_0040004	CGGBP1	MSTRG.1019.6.p2
PXMP4_HUMAN	MSTRG.1019	CGGBP1	MSTRG.1019.7.p1
PXMP4_HUMAN	PMZ_0040004	CGGBP1	MSTRG.1019.7.p1
REST_HUMAN	MSTRG.10079	REST	MSTRG.10221.1.p1
REST_MOUSE	MSTRG.10221	REST	MSTRG.10221.1.p1
REST_HUMAN	PMZ_0031526	REST	MSTRG.10221.1.p1
REST_MOUSE	PMZ_0044517	REST	MSTRG.10221.1.p1
REST_HUMAN	MSTRG.10079	REST	MSTRG.10221.3.p1
REST_MOUSE	MSTRG.10221	REST	MSTRG.10221.3.p1
REST_HUMAN	PMZ_0031526	REST	MSTRG.10221.3.p1
REST_MOUSE	PMZ_0044517	REST	MSTRG.10221.3.p1
IRX5_XENTR	MSTRG.10254	IRX5	MSTRG.10254.1.p1
IRX5_XENTR	PMZ_0033753	IRX5	MSTRG.10254.1.p1
IRX5_XENTR	MSTRG.10254	IRX5	MSTRG.10254.2.p1
IRX5_XENTR	PMZ_0033753	IRX5	MSTRG.10254.2.p1
SALL3_HUMAN	MSTRG.10314	SALL4	MSTRG.10314.2.p2
SALL1_MOUSE	MSTRG.3513	SALL4	MSTRG.10314.2.p2
SALL1_MOUSE	PMZ_0012241	SALL4	MSTRG.10314.2.p2
SALL3_HUMAN	PMZ_0035139	SALL4	MSTRG.10314.2.p2
ZN326_HUMAN	MSTRG.10436	ZNF326	MSTRG.10436.1.p1
ZN326_CHICK	MSTRG.10437	ZNF326	MSTRG.10436.1.p1
AKAP8_CANLF	MSTRG.20483	ZNF326	MSTRG.10436.1.p1
ZN326_CHICK	PMZ_0031140	ZNF326	MSTRG.10436.1.p1
ZN326_HUMAN	PMZ_0031141	ZNF326	MSTRG.10436.1.p1
ZN326_HUMAN	MSTRG.10436	ZNF326	MSTRG.10436.2.p1
ZN326_CHICK	MSTRG.10437	ZNF326	MSTRG.10436.2.p1
AKAP8_CANLF	MSTRG.20483	ZNF326	MSTRG.10436.2.p1
ZN326_CHICK	PMZ_0031140	ZNF326	MSTRG.10436.2.p1
ZN326_HUMAN	PMZ_0031141	ZNF326	MSTRG.10436.2.p1
ZN326_HUMAN	MSTRG.10436	ZNF326	MSTRG.10436.3.p1
ZN326_CHICK	MSTRG.10437	ZNF326	MSTRG.10436.3.p1
AKAP8_CANLF	MSTRG.20483	ZNF326	MSTRG.10436.3.p1
ZN326_CHICK	PMZ_0031140	ZNF326	MSTRG.10436.3.p1
ZN326_HUMAN	PMZ_0031141	ZNF326	MSTRG.10436.3.p1
ZN326_HUMAN	MSTRG.10436	ZNF326	MSTRG.10437.1.p1
ZN326_CHICK	MSTRG.10437	ZNF326	MSTRG.10437.1.p1
AKAP8_CANLF	MSTRG.20483	ZNF326	MSTRG.10437.1.p1
ZN326_CHICK	PMZ_0031140	ZNF326	MSTRG.10437.1.p1
ZN326_HUMAN	PMZ_0031141	ZNF326	MSTRG.10437.1.p1
ZN326_HUMAN	MSTRG.10436	ZNF326	MSTRG.10437.2.p1
ZN326_CHICK	MSTRG.10437	ZNF326	MSTRG.10437.2.p1
AKAP8_CANLF	MSTRG.20483	ZNF326	MSTRG.10437.2.p1
ZN326_CHICK	PMZ_0031140	ZNF326	MSTRG.10437.2.p1
ZN326_HUMAN	PMZ_0031141	ZNF326	MSTRG.10437.2.p1
ZN326_HUMAN	MSTRG.10436	ZNF326	MSTRG.10437.3.p1
ZN326_CHICK	MSTRG.10437	ZNF326	MSTRG.10437.3.p1
AKAP8_CANLF	MSTRG.20483	ZNF326	MSTRG.10437.3.p1
ZN326_CHICK	PMZ_0031140	ZNF326	MSTRG.10437.3.p1
ZN326_HUMAN	PMZ_0031141	ZNF326	MSTRG.10437.3.p1
NR5A2_CHICK	MSTRG.10459	NR5A2	MSTRG.10459.2.p2
NR5A2_CHICK	PMZ_0037151	NR5A2	MSTRG.10459.2.p2
NR5A2_CHICK	PMZ_0042405	NR5A2	MSTRG.10459.2.p2
GMEB2_HUMAN	MSTRG.1048	GMEB2	MSTRG.1048.1.p1
GMEB2_HUMAN	PMZ_0010552	GMEB2	MSTRG.1048.1.p1
GMEB2_HUMAN	MSTRG.1048	GMEB2	MSTRG.1048.2.p1
GMEB2_HUMAN	PMZ_0010552	GMEB2	MSTRG.1048.2.p1
MECP2_MOUSE	MSTRG.10535	MECP2	MSTRG.10535.1.p2
MECP2_MOUSE	MSTRG.10577	MECP2	MSTRG.10535.1.p2
MECP2_RAT	MSTRG.8836	MECP2	MSTRG.10535.1.p2
MECP2_RAT	PMZ_0011998	MECP2	MSTRG.10535.1.p2
MECP2_MOUSE	PMZ_0043474	MECP2	MSTRG.10535.1.p2
MECP2_MOUSE	MSTRG.10535	MECP2	MSTRG.10577.2.p1
MECP2_MOUSE	MSTRG.10577	MECP2	MSTRG.10577.2.p1
MECP2_RAT	MSTRG.8836	MECP2	MSTRG.10577.2.p1
MECP2_RAT	PMZ_0011998	MECP2	MSTRG.10577.2.p1
MECP2_MOUSE	PMZ_0043474	MECP2	MSTRG.10577.2.p1
RARB_CHICK	MSTRG.10592	RARG	MSTRG.10592.1.p1
RARA_CHICK	MSTRG.1605	RARG	MSTRG.10592.1.p1
RARB_COTJA	MSTRG.2114	RARG	MSTRG.10592.1.p1
RARB_HUMAN	MSTRG.6029	RARG	MSTRG.10592.1.p1
RARA_CHICK	PMZ_0027855	RARG	MSTRG.10592.1.p1
RARB_HUMAN	PMZ_0028992	RARG	MSTRG.10592.1.p1
RARB_COTJA	PMZ_0040583	RARG	MSTRG.10592.1.p1
RARB_CHICK	MSTRG.10592	RARG	MSTRG.10592.3.p1
RARA_CHICK	MSTRG.1605	RARG	MSTRG.10592.3.p1
RARB_COTJA	MSTRG.2114	RARG	MSTRG.10592.3.p1
RARB_HUMAN	MSTRG.6029	RARG	MSTRG.10592.3.p1
RARA_CHICK	PMZ_0027855	RARG	MSTRG.10592.3.p1
RARB_HUMAN	PMZ_0028992	RARG	MSTRG.10592.3.p1
RARB_COTJA	PMZ_0040583	RARG	MSTRG.10592.3.p1
NR1D1_BOVIN	MSTRG.10597	NR1D1	MSTRG.10597.1.p4
NR1D2_HUMAN	MSTRG.2345	NR1D1	MSTRG.10597.1.p4
NR1D2_HUMAN	PMZ_0012318	NR1D1	MSTRG.10597.1.p4
NR1D1_BOVIN	PMZ_0030262	NR1D1	MSTRG.10597.1.p4
KAT7_HUMAN	MSTRG.10601	KAT7	MSTRG.10601.1.p1
KAT7_MOUSE	MSTRG.14489	KAT7	MSTRG.10601.1.p1
KAT7_MOUSE	PMZ_0034714	KAT7	MSTRG.10601.1.p1
KAT7_HUMAN	MSTRG.10601	KAT7	MSTRG.10601.3.p1
KAT7_MOUSE	MSTRG.14489	KAT7	MSTRG.10601.3.p1
KAT7_MOUSE	PMZ_0034714	KAT7	MSTRG.10601.3.p1
KAT7_HUMAN	MSTRG.10601	KAT7	MSTRG.10601.4.p1
KAT7_MOUSE	MSTRG.14489	KAT7	MSTRG.10601.4.p1
KAT7_MOUSE	PMZ_0034714	KAT7	MSTRG.10601.4.p1
KAT7_HUMAN	MSTRG.10601	KAT7	MSTRG.10601.5.p1
KAT7_MOUSE	MSTRG.14489	KAT7	MSTRG.10601.5.p1
KAT7_MOUSE	PMZ_0034714	KAT7	MSTRG.10601.5.p1
KAT7_HUMAN	MSTRG.10601	KAT7	MSTRG.10601.6.p1
KAT7_MOUSE	MSTRG.14489	KAT7	MSTRG.10601.6.p1
KAT7_MOUSE	PMZ_0034714	KAT7	MSTRG.10601.6.p1
HXD8_CHICK	MSTRG.10675	HOXA7	MSTRG.10675.1.p1
HXD8_CHICK	PMZ_0039088	HOXA7	MSTRG.10675.1.p1
HXD8_CHICK	MSTRG.10675	HOXA7	MSTRG.10675.2.p1
HXD8_CHICK	PMZ_0039088	HOXA7	MSTRG.10675.2.p1
HXA3_CHICK	MSTRG.10682	HOXD3	MSTRG.10682.1.p2
HXA3_HETFR	MSTRG.1877	HOXD3	MSTRG.10682.1.p2
HXA3_HETFR	PMZ_0031814	HOXD3	MSTRG.10682.1.p2
HXA3_CHICK	PMZ_0033920	HOXD3	MSTRG.10682.1.p2
HXD3_XENLA	PMZ_0039448	HOXD3	MSTRG.10682.1.p2
NF2L1_CHICK	MSTRG.10692	NFE2L1	MSTRG.10692.1.p1
NF2L1_CHICK	PMZ_0043520	NFE2L1	MSTRG.10692.1.p1
NF2L1_CHICK	MSTRG.10692	NFE2L1	MSTRG.10692.2.p1
NF2L1_CHICK	PMZ_0043520	NFE2L1	MSTRG.10692.2.p1
ZN148_MOUSE	MSTRG.10737	ZNF148	MSTRG.10737.1.p1
ZN148_MOUSE	PMZ_0043540	ZNF148	MSTRG.10737.1.p1
ZN148_MOUSE	MSTRG.10737	ZNF148	MSTRG.10737.2.p1
ZN148_MOUSE	PMZ_0043540	ZNF148	MSTRG.10737.2.p1
ZN830_MOUSE	MSTRG.10739	ZNF830	MSTRG.10739.1.p1
ZN830_MOUSE	PMZ_0043543	ZNF830	MSTRG.10739.1.p1
ZN830_MOUSE	MSTRG.10739	ZNF830	MSTRG.10739.2.p1
